filename,sharpness,exposure,entropy,feature_count,sharpness_norm,exposure_norm,entropy_norm,feature_count_norm,quality_score
000013.jpg,1519.512024160803,0.9524295195147806,7.83813979661547,2000.0,0.7647230619021214,0.8759770913790067,0.8991628737381719,0.5,0.7532437661630225
000014.jpg,1491.2999256633507,0.9531125993782967,7.821316915574139,2000.0,0.7412185419925922,0.8778246235430976,0.8641030156708507,0.5,0.7396423216177221
000015.jpg,1573.3718904913387,0.9422990096486461,7.7866186041271925,2000.0,0.8095956650728839,0.8485770115113587,0.7917897257226626,0.5,0.7383808975442373
000004.jpg,1410.987812586515,0.9657961117974336,7.841958480364479,2000.0,0.6743076150737279,0.9121298320547067,0.907121231757546,0.5,0.7367489888873042
000005.jpg,1380.980628540926,0.962733755926089,7.824727839163558,2000.0,0.649307544451823,0.9038470509739138,0.8712115779099661,0.5,0.7199963416610186
000012.jpg,1430.5808526127842,0.9209162651991469,7.847213434478574,2000.0,0.6906312855524493,0.79074291298643,0.9180728603720396,0.5,0.7134896859867502
000003.jpg,1355.3510406145124,0.9591052774793686,7.805965158764443,2000.0,0.6279546075285446,0.8940330731433869,0.8321090656744367,0.5,0.7033164636792975
000198.jpg,1182.0956542808303,0.9772705666955501,7.876409891951251,2000.0,0.4836092771774217,0.9431648919678444,0.9789199681026227,0.5,0.7016579997657122
000007.jpg,1397.9446016113673,0.9683394376057958,7.745551409233177,2000.0,0.6634408441358187,0.9190087879216302,0.7062033139380318,0.5,0.6950251130087596
000199.jpg,1157.9462812495597,0.9676409219039754,7.886524789401095,2000.0,0.46348956083418674,0.9171195063088,1.0,0.5,0.693326744827456
000002.jpg,1345.0906083822142,0.9717584391080757,7.74160567548724,2000.0,0.6194062702360811,0.9282561916029836,0.6979801763693768,0.5,0.6824819642454456
000222.jpg,1171.030938757666,0.9686476775042538,7.849989447082719,2000.0,0.4743908623781477,0.9198424871083198,0.9238582313590489,0.5,0.682049526762334
000138.jpg,1173.7334197581533,0.977745981711613,7.833400088650237,2000.0,0.47664239706943673,0.9444507511775518,0.889285047928588,0.5,0.6819624165009366
