scene,split,views,selection,iterations,resolution,status,runtime_sec,train_psnr,train_l1,initial_points,model_path,run_report
db/drjohnson,2views_quality,2,quality,3000,4,success,42.35226560000001,49.74613800048829,0.0022755973041057,1667,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality\run_report.json
db/drjohnson,2views_quality_diverse,2,quality_diverse,3000,4,success,60.26458610000009,44.85072937011719,0.0034333253279328,2626,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality_diverse\run_report.json
db/drjohnson,2views_quality_image_diverse,2,quality_image_diverse,3000,4,success,68.72905460000038,49.83347930908204,0.0022310428321361,1667,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\2views_quality_image_diverse\run_report.json
db/drjohnson,2views_random,2,random,3000,4,success,44.21388980000029,49.602088928222656,0.0022340018767863,3698,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random\run_report.json
db/drjohnson,2views_random_seed0,2,random_seed0,3000,4,success,23.821195100004843,52.278881835937504,0.0017271091928705,1026,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed0\run_report.json
db/drjohnson,2views_random_seed1,2,random_seed1,3000,4,success,30.099670899995544,50.62863464355469,0.0020475684432312,3008,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed1\run_report.json
db/drjohnson,2views_random_seed2,2,random_seed2,3000,4,success,36.28974279999966,51.70931167602539,0.001777624245733,2461,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed2\run_report.json
db/drjohnson,2views_random_seed3,2,random_seed3,3000,4,success,38.08900279999944,51.14058303833008,0.0019044166896492,836,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed3\run_report.json
db/drjohnson,2views_random_seed4,2,random_seed4,3000,4,success,49.94064580000122,51.65600128173829,0.001694765407592,2339,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed4\run_report.json
db/drjohnson,2views_uniform,2,uniform,3000,4,success,20.87782190000007,51.22233428955079,0.0018778344616293,2962,results\method_outputs\db\drjohnson\3dgs_sparse\2views_uniform,results\method_outputs\db\drjohnson\3dgs_sparse\2views_uniform\run_report.json
db/drjohnson,3views_quality,3,quality,3000,4,success,53.923480700000255,47.321308898925786,0.002908720402047,2379,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality\run_report.json
db/drjohnson,3views_quality_diverse,3,quality_diverse,3000,4,success,62.52578100000028,45.20008010864258,0.0040430617751553,4021,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_diverse\run_report.json
db/drjohnson,3views_quality_image_diverse,3,quality_image_diverse,3000,4,success,91.78700300000492,47.23116989135743,0.0029198168776929,2379,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_image_diverse\run_report.json
db/drjohnson,3views_random,3,random,3000,4,success,49.47266320000017,48.26772613525391,0.0025198893621563,4035,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random\run_report.json
db/drjohnson,3views_random_seed0,3,random_seed0,3000,4,success,48.366600199995446,49.89725646972656,0.0021552298916503,4703,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed0\run_report.json
db/drjohnson,3views_random_seed1,3,random_seed1,3000,4,success,39.12414490000083,51.38092422485352,0.0018522195285186,3606,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed1\run_report.json
db/drjohnson,3views_random_seed2,3,random_seed2,3000,4,success,49.736557500000345,51.19701080322266,0.001902909274213,5027,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed2\run_report.json
db/drjohnson,3views_random_seed3,3,random_seed3,3000,4,success,40.8250893000004,50.03294296264649,0.0021934852469712,2116,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed3\run_report.json
db/drjohnson,3views_random_seed4,3,random_seed4,3000,4,success,41.660552300003474,51.09889755249024,0.0019661934813484,1502,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed4\run_report.json
db/drjohnson,3views_uniform,3,uniform,3000,4,success,45.188223200000266,50.415086364746095,0.0020612726220861,5127,results\method_outputs\db\drjohnson\3dgs_sparse\3views_uniform,results\method_outputs\db\drjohnson\3dgs_sparse\3views_uniform\run_report.json
db/drjohnson,5views_quality,5,quality,3000,4,success,57.64330179999979,44.92893600463867,0.0034598677884787,2834,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality\run_report.json
db/drjohnson,5views_quality_diverse,5,quality_diverse,3000,4,success,66.75118380000004,45.37466049194336,0.0031689975876361,6175,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_diverse\run_report.json
db/drjohnson,5views_quality_image_diverse,5,quality_image_diverse,3000,4,success,114.87618949999889,40.175880432128906,0.005444346461445,6538,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_image_diverse\run_report.json
db/drjohnson,5views_random,5,random,3000,4,success,52.45500949999996,46.95610809326172,0.0028357717674225,5413,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random\run_report.json
db/drjohnson,5views_random_seed0,5,random_seed0,3000,4,success,62.85878269999375,44.083892822265625,0.0035309840459376,7819,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed0\run_report.json
db/drjohnson,5views_random_seed1,5,random_seed1,3000,4,success,64.56243739999627,47.44523620605469,0.0026980282273143,5974,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed1\run_report.json
db/drjohnson,5views_random_seed2,5,random_seed2,3000,4,success,56.18918719999783,41.75416564941406,0.0045298426412045,7672,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed2\run_report.json
db/drjohnson,5views_random_seed3,5,random_seed3,3000,4,success,53.071070900005,46.82607269287109,0.0027686811517924,8763,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed3\run_report.json
